"","name","city","prim","sec","tert","quart","state","stars"
"522","Christy's Landing","Madison","Bars"," American (Traditional)"," Fish & Chips"," Nightlife","WI",2.82352941176471
"523","Chubby's Pizza & Hoagies Northside","Pittsburgh","Pizza",NA,NA,NA,"PA",3
"524","Chuck E Cheese's","Phoenix","Pizza",NA,NA,NA,"AZ",2.77777777777778
"525","Chuck E Cheese's Pizza","Phoenix","Pizza",NA,NA,NA,"AZ",3
"526","Chuck E. Cheese's","Charlotte","Pizza",NA,NA,NA,"NC",2.83018867924528
"527","Chung Ming Restaurant","Glendale","Chinese",NA,NA,NA,"AZ",3.06666666666667
"528","Church's Chicken","Charlotte","Chicken Wings",NA,NA,NA,"NC",2.8348623853211
"529","Church's Fried Chicken","Phoenix","",NA,NA,NA,"AZ",2.75
"530","Church Brew Works","Pittsburgh","Bars"," American (Traditional)"," Nightlife",NA,"PA",3.67184801381693
"531","Churchkey Bar and Grill","Madison","Bars"," American (Traditional)"," Nightlife",NA,"WI",3.5
"532","Chuy's Mesquite Broiler","Phoenix","Mexican",NA,NA,NA,"AZ",3.30232558139535
"533","Cici's Pizza","Charlotte","Pizza",NA,NA,NA,"NC",3.63636363636364
"534","Cicis Pizza","Charlotte","Pizza",NA,NA,NA,"NC",2.41176470588235
"535","Cindy's Arizona Cafe","Mesa","American (Traditional)"," Diners",NA,NA,"AZ",3.58
"536","Circle G Restaurant","Charlotte","Southern",NA,NA,NA,"NC",4.27272727272727
"537","Ciro's Italian Restaurant","Charlotte",""," Italian",NA,NA,"NC",3.52083333333333
"538","City Grill","Pittsburgh","American (Traditional)",NA,NA,NA,"PA",3.66666666666667
"539","City Hall Grill","Phoenix","American (Traditional)",NA,NA,NA,"AZ",4
"540","City Tavern","Charlotte","Seafood",NA,NA,NA,"NC",2.75
"541","Claim Jumper","Scottsdale","American (Traditional)",NA,NA,NA,"AZ",3.09375
"542","Clark Bar & Grill","Pittsburgh","Bars"," American (Traditional)"," Nightlife",NA,"PA",3.5
"543","Cleveland's Diner","Madison","",NA,NA,NA,"WI",4.4
"544","Club Tavern & Grille","Middleton","Bars"," American (New)"," Nightlife",NA,"WI",2.625
"545","Clucker's Greek Cuisine","Charlotte","Greek"," Mediterranean",NA,NA,"NC",3.4
"546","Coach & Willies","Phoenix","Nightlife"," Bars"," American (New)"," Sports Bars","AZ",3.26470588235294
"547","Cobb's Restaurant & Lounge","Apache Junction","Bars"," "," Nightlife"," Lounges, Italian","AZ",2.15384615384615
"548","Coco's Bakery & Restaurant","Mesa","Bakeries"," Food"," American (Traditional)",NA,"AZ",2.77777777777778
"549","Coco's Family Restaurant","Phoenix","Bakeries"," Food"," American (Traditional)",NA,"AZ",2.76851851851852
"550","Coco's Restaurant","Phoenix","American (Traditional)"," American (New)",NA,NA,"AZ",2
"551","Coffee Island","Gilbert","Food"," Coffee & Tea"," Sandwiches",NA,"AZ",4
"552","Coffee Pub","Las Vegas","Food"," Sandwiches"," Coffee & Tea"," Breakfast & Brunch","NV",4.21468926553672
"553","Come Back In","Madison","Breakfast & Brunch"," Bars"," American (Traditional)"," Nightlife","WI",3.47887323943662
"554","Comedor Guadalajara","Phoenix","Mexican",NA,NA,NA,"AZ",4.16049382716049
"555","Comet Grill","Charlotte","Bars"," American (Traditional)"," Nightlife",NA,"NC",3.75
"556","Common Plea Restaurant","Pittsburgh",""," Italian",NA,NA,"PA",3.7
"557","Coney Island Grill","Phoenix","Burgers"," American (Traditional)"," Hot Dogs",NA,"AZ",3.6
"558","Conicella Pizza","Pittsburgh","Pizza",NA,NA,NA,"PA",4.44444444444444
"559","Convenient Corner Market","Scottsdale","Food"," Grocery"," Convenience Stores"," Delis","AZ",4.79166666666667
"560","Cook E Jar Bakery & Cafe","Casa Grande","Breakfast & Brunch"," Sandwiches",NA,NA,"AZ",3.92592592592593
"561","Cook On Wok","Henderson","Chinese",NA,NA,NA,"NV",3.17391304347826
"562","Cool Beans Coffee Cafe","Madison","Food"," Coffee & Tea"," Cafes",NA,"WI",4.28571428571429
"563","Copper Door Bar","Glendale","Nightlife",NA,NA,NA,"AZ",2.83333333333333
"564","Copper Kettle-Salads Balti & Taandoori Grill","Mesa","Pakistani"," Indian"," Buffets",NA,"AZ",3.45
"565","Copper Square Cafe","Phoenix","Cafes",NA,NA,NA,"AZ",3
"566","Copper Top Restaurant","Madison","Breakfast & Brunch",NA,NA,NA,"WI",3.1
"567","Copps Food Center","Madison","Food"," Beer"," Wine & Spirits"," Grocery, Delis","WI",2.66666666666667
"568","Coreana","Madison","Korean"," Japanese",NA,NA,"WI",3.6
"569","Corner Cafe & Catering","Pineville","Breakfast & Brunch"," Cafes",NA,NA,"NC",4.33333333333333
"570","Coronado Cafe","Phoenix","American (New)",NA,NA,NA,"AZ",4.09316770186335
"571","Cosmos Cafe","Charlotte","Bars"," Sushi Bars"," Nightlife"," Lounges, American (New)","NC",2.98148148148148
"572","Costa Del Sol At Sunset Station","Henderson","Seafood"," Steakhouses"," Mexican",NA,"NV",4.625
"573","Cottage Cafe","Madison","Breakfast & Brunch"," Cafes",NA,NA,"WI",4.29032258064516
"574","Country Boys Restaurant #110","Phoenix","Diners",NA,NA,NA,"AZ",2.9375
"575","Country Boys Restaurants","Phoenix","American (Traditional)"," Diners",NA,NA,"AZ",3.5
"576","Country Cafe","Sun Prairie","Breakfast & Brunch"," American (Traditional)"," Diners",NA,"WI",3.66666666666667
"577","Country Kitchen","Wickenburg","American (New)",NA,NA,NA,"AZ",2.72727272727273
"578","Coup Des Tartes","Phoenix","French",NA,NA,NA,"AZ",4.005
"579","Courier Cafe","Urbana","Breakfast & Brunch"," American (Traditional)"," Cafes",NA,"IL",3.83710407239819
"580","Court House Cafe","Phoenix","Sandwiches",NA,NA,NA,"AZ",4
"581","Courtyard Deli","Las Vegas","Delis"," Italian"," Sandwiches",NA,"NV",5
"582","Cousins Subs","Phoenix","Sandwiches",NA,NA,NA,"AZ",3.4
"583","Cowboy Cafe","Wickenburg","American (Traditional)",NA,NA,NA,"AZ",3.33333333333333
"584","Cowboy Ciao","Scottsdale","American (New)",NA,NA,NA,"AZ",3.8983666061706
"585","Coyote's Cafe & Cantina","Henderson","Mexican",NA,NA,NA,"NV",3.58163265306122
"586","Crabby Don's Bar & Grill","Gilbert","Bars"," Food"," Beer"," Wine & Spirits, Nightlife, American (New), Sports Bars","AZ",2.97142857142857
"587","Cracker Barrel Old Country Store","Madison","Breakfast & Brunch"," American (Traditional)"," Southern",NA,"WI",3.38529411764706
"588","Crackers & Co Cafe","Mesa","Breakfast & Brunch"," American (Traditional)",NA,NA,"AZ",4.36643835616438
"589","Cranberry Hills Eatery & Catering","Phoenix","Breakfast & Brunch"," American (New)",NA,NA,"AZ",3.42857142857143
"590","Crane Alley","Urbana","Bars"," American (Traditional)"," Nightlife",NA,"IL",3.65137614678899
"591","Crave Restaurant & Lounge","Madison","Bars"," Nightlife"," Lounges",NA,"WI",3.9
"592","Crave Sandwich Cafe & Catering","Phoenix","Event Planning & Services"," Caterers"," Sandwiches",NA,"AZ",3.76190476190476
"593","Crazy Jim's","Phoenix","Greek",NA,NA,NA,"AZ",3.7103825136612
"594","Creative Cafe","Casa Grande","American (New)",NA,NA,NA,"AZ",4.37704918032787
"595","Creekhouse","Pittsburgh","Belgian"," Bars"," American (New)"," Nightlife","PA",3.32142857142857
"596","Crepes and Bakes","Paradise Valley","Creperies",NA,NA,NA,"AZ",5
"597","Crepes Parisiennes","Pittsburgh","Breakfast & Brunch"," Creperies"," French",NA,"PA",4.03076923076923
"598","Croque Famous Sandwiches","Scottsdale","Sandwiches",NA,NA,NA,"AZ",4.02127659574468
"599","Crossroads Bar & Grill","Phoenix","Bars"," American (Traditional)"," Nightlife",NA,"AZ",3
"600","Crown China Super Buffet","Phoenix","Buffets"," Chinese",NA,NA,"AZ",2.73333333333333
"601","Cucina Tagliani","Peoria",""," Italian",NA,NA,"AZ",3.65384615384615
"602","Cuisine Malaya","Charlotte","Vegetarian"," Sushi Bars"," Asian Fusion",NA,"NC",3.78985507246377
"603","Culver's","De Forest","Food"," Ice Cream & Frozen Yogurt"," Fast Food",NA,"WI",3.70769230769231
"604","Culver's Frozen Custard","Sun Prairie","Food"," Ice Cream & Frozen Yogurt"," Fast Food",NA,"WI",4
"605","Cupka Richd Deli","Pittsburgh","Delis"," Sandwiches",NA,NA,"PA",4.33333333333333
"606","Cyclo Vietnamese Cuisine","Chandler","Vietnamese"," Chinese",NA,NA,"AZ",3.8695652173913
"607","Cyprus Grill of Phoenix","Phoenix","Greek"," Mediterranean",NA,NA,"AZ",3.88793103448276
"608","D'Amico's","Pittsburgh",""," Italian",NA,NA,"PA",2.71428571428571
"609","D's Six Pax & Dogz","Pittsburgh","Pubs"," Bars"," Hot Dogs"," Nightlife","PA",4.29218106995885
"610","Da Vang","Phoenix","Vietnamese",NA,NA,NA,"AZ",4.01408450704225
"611","Dairy Queen","Pittsburgh","Food"," Ice Cream & Frozen Yogurt"," Fast Food",NA,"PA",2.96666666666667
"612","Dairyland Family Restaurant","Madison","American (New)",NA,NA,NA,"WI",2.57142857142857
"613","Danny's Pizza","Pittsburgh","Pizza",NA,NA,NA,"PA",4.42857142857143
"614","Dave & Buster's","Homestead","Arts & Entertainment"," American (Traditional)"," Bars"," Pubs, Arcades, Nightlife","PA",2.77922077922078
"615","David's Jamaican Cuisine","Monona","Caribbean",NA,NA,NA,"WI",3.925
"616","DC Bar & Grill","Fountain Hills","Bars"," American (Traditional)"," Buffets"," Nightlife","AZ",3.85714285714286
"617","De Marco's Italian Grill","Fort Mill",""," Pizza"," Italian",NA,"SC",3.65
"618","Deemos American Grill","Phoenix","American (Traditional)",NA,NA,NA,"AZ",2.05882352941176
"619","Defalco's Italian Grocery","Scottsdale","Delis"," "," Sandwiches"," Italian","AZ",4.34293948126801
"620","Deforest Family Restaurant","De Forest","American (Traditional)",NA,NA,NA,"WI",3.66666666666667
"621","Del Taco","Phoenix","Fast Food",NA,NA,NA,"AZ",2.88936170212766
"622","Delaney's Steaks and Seafood","Madison","Steakhouses",NA,NA,NA,"WI",3.76315789473684
"623","Delhi Palace Cuisine of India","Tempe","Pakistani"," Indian"," Buffets",NA,"AZ",3.74305555555556
"624","Deli Roma","Sun Prairie","Delis",NA,NA,NA,"WI",4.42105263157895
"625","Dell's Pizza And Sports Bar","Casa Grande","Nightlife"," Bars"," Pizza"," Sports Bars","AZ",4.05555555555556
"626","Demetrios Restaurant","Belmont",""," Pizza"," Italian",NA,"NC",3.4
"627","DeMino's Pizza","Pittsburgh","Pizza",NA,NA,NA,"PA",4
"628","Demore's Pizzeria","Pittsburgh","Pizza",NA,NA,NA,"PA",3.4
"629","Denny's","Pittsburgh","American (Traditional)",NA,NA,NA,"PA",2.8601997146933
"630","Denny's Restaurant","Phoenix","Breakfast & Brunch"," Diners",NA,NA,"AZ",2.6
"631","Dennys","Middleton","Diners",NA,NA,NA,"WI",2.5
"632","Deno's Pizza","Litchfield Park","Pizza",NA,NA,NA,"AZ",4
"633","Desert Jade","Phoenix","Chinese",NA,NA,NA,"AZ",3.88489208633094
"634","Desert Peaks Pizza & Grille","Mesa","Italian"," Pizza",NA,NA,"AZ",2.63636363636364
"635","Dexter's Pub","Madison","Pubs"," Bars"," American (New)"," Nightlife","WI",3.7012987012987
"636","Di Salla's Pizza Parlor","Pittsburgh","Pizza",NA,NA,NA,"PA",3.33333333333333
"637","Diamond's Chinese Restaurant","Phoenix","Chinese",NA,NA,NA,"AZ",3.27118644067797
"638","Diamond China 2","Las Vegas","Chinese",NA,NA,NA,"NV",3.39285714285714
"639","Diamond China Restaurant","Las Vegas","Chinese",NA,NA,NA,"NV",3.28
"640","Diamond Dot Market","Queen Creek","Burgers"," Fast Food"," Mexican",NA,"AZ",4.18181818181818
"641","Diamond Restaurant","Charlotte","Southern"," Diners",NA,NA,"NC",3.61187214611872
"642","DiCarlo's Original Pizza","Pittsburgh","Italian"," Pizza",NA,NA,"PA",4.14285714285714
"643","Different Pointe of View","Phoenix","Italian"," American (Traditional)"," Mediterranean",NA,"AZ",4.20233463035019
"644","Dikadee's Deli","Charlotte","Delis"," Sandwiches",NA,NA,"NC",3
"645","Dilly's Deli","Tempe","Delis"," Sandwiches",NA,NA,"AZ",4.05504587155963
"646","Dimas Tacos","Las Vegas","Mexican",NA,NA,NA,"NV",3.91666666666667
"647","Dimitri's Gyros","Madison","Greek",NA,NA,NA,"WI",3
"648","Diner 50","Phoenix","Breakfast & Brunch"," Diners",NA,NA,"AZ",4.1304347826087
"649","Dino's Family Restaurant","Charlotte","Breakfast & Brunch",NA,NA,NA,"NC",3.93103448275862
"650","Dirtwater Springs","Apache Junction","American (Traditional)",NA,NA,NA,"AZ",3.6875
"651","Dish","Charlotte","Southern",NA,NA,NA,"NC",3.88963210702341
"652","Dj's Bagel Cafe","Fountain Hills","Food"," Bagels"," Cafes",NA,"AZ",4.20588235294118
"653","Dobson's Restaurant","Mesa","American (Traditional)",NA,NA,NA,"AZ",4.4
"654","Doc's Place","Pittsburgh","Bars"," Pizza"," Nightlife",NA,"PA",3
"655","Dom's Patio Villa","Champaign",""," Italian",NA,NA,"IL",4.5
"656","Domenico's Pizza & Pasta To Go","Matthews","Pizza",NA,NA,NA,"NC",4.6
"657","Domino's Pizza","Charlotte","Sandwiches"," Pizza"," Chicken Wings",NA,"NC",2.98062953995157
"658","Dominos Pizza","Chandler","Pizza",NA,NA,NA,"AZ",3.75
"659","Don & Charlie's","Scottsdale","American (Traditional)"," Steakhouses"," Barbeque",NA,"AZ",3.85558583106267
"660","Don Don Chinese Restaurant","Carnegie","Chinese",NA,NA,NA,"PA",2.5
"661","Don Jose Mexican Food","Phoenix","Mexican",NA,NA,NA,"AZ",4.10975609756098
"662","Don Pedro Mexican Restaurant","Charlotte","Mexican",NA,NA,NA,"NC",4.26666666666667
"663","Don Ruben's Mexican Restaurant","Glendale","Mexican",NA,NA,NA,"AZ",4.15957446808511
"664","Don Tortaco's","Las Vegas","Fast Food"," Mexican",NA,NA,"NV",3.72972972972973
"665","Donatelli's Italian Food Center","Pittsburgh","Food"," Grocery"," Delis",NA,"PA",3.5
"666","Dong-A","Phoenix","Vietnamese",NA,NA,NA,"AZ",3.57142857142857
"667","Dorcas Restaurant","Champaign","",NA,NA,NA,"IL",4
"668","Dorian's Deli & Grill","Matthews","Delis",NA,NA,NA,"NC",4.8
"669","Dos Gringos","Scottsdale","Dive Bars"," Bars"," Mexican"," Nightlife","AZ",3.44285714285714
"670","Dotty's #7","Las Vegas","",NA,NA,NA,"NV",2.66666666666667
"671","Draft House Bar & Restaurant","Verona","Nightlife"," Bars"," American (Traditional)"," Sports Bars","WI",3.23529411764706
"672","Dragon Bowl","Phoenix","Chinese",NA,NA,NA,"AZ",3.79166666666667
"673","Dragon City","Verona","Chinese",NA,NA,NA,"WI",2.76923076923077
"674","Dragon Court","Charlotte","Dim Sum"," Chinese",NA,NA,"NC",3.04
"675","Dragon Palace","Phoenix","Chinese",NA,NA,NA,"AZ",3.85858585858586
"676","Dragonfly Cafe","Scottsdale","American (New)",NA,NA,NA,"AZ",4.02898550724638
"677","Dragonfly Vietnamese Kitchen","Mesa","Vietnamese",NA,NA,NA,"AZ",3.61764705882353
"678","Drew's Family Restaurant","Pittsburgh","Breakfast & Brunch"," Pizza"," Diners",NA,"PA",4.02380952380952
"679","Drift Lounge","Scottsdale","Bars"," Hawaiian"," Nightlife"," Lounges, American (New)","AZ",3.54
"680","Dry Bean","Fitchburg","Pubs"," Bars"," American (New)"," Nightlife","WI",2
"681","Duck & Decanter","Phoenix","Delis"," Sandwiches",NA,NA,"AZ",4.03030303030303
"682","Due Amici Pizza","Charlotte","Pizza",NA,NA,NA,"NC",4.23611111111111
"683","Duke's Upper Deck Cafe","Homestead","Pubs"," Bars"," American (New)"," Nightlife","PA",3.65384615384615
"684","Dunes Lounge","Phoenix","",NA,NA,NA,"AZ",3
"685","Dunning's Grill","Pittsburgh","American (Traditional)",NA,NA,NA,"PA",3
"686","Eagle Crest Bar","Madison","Dive Bars"," Burgers"," Bars"," Nightlife","WI",3.57142857142857
"687","East Boulevard Bar & Grill","Charlotte","Bars"," American (Traditional)"," Pubs"," Sandwiches, , Nightlife","NC",3.06122448979592
"688","East End Food Co-Op","Pittsburgh","Health Markets"," Food"," Vegetarian"," , Specialty Food","PA",4.3015873015873
"689","Eat'n Park","Homestead","American (Traditional)"," Diners",NA,NA,"PA",3
"690","Eat'n Park Restaurant","McKees Rocks","American (Traditional)",NA,NA,NA,"PA",3.28787878787879
"691","Echo Tap & Grill","Madison","Bars"," American (Traditional)"," Nightlife"," , Sports Bars, Pizza","WI",3.92727272727273
"692","Eddie's Pizza Haus","Pittsburgh","Pizza",NA,NA,NA,"PA",4
"693","Edelweiss German Deli","Phoenix","Delis",NA,NA,NA,"AZ",3.75
"694","Egg & I Cafe","Mesa","Breakfast & Brunch",NA,NA,NA,"AZ",1.83333333333333
"695","Einstein Bros","Mesa","Food"," Bagels"," Caterers"," Delis, Event Planning & Services","AZ",2.9344262295082
"696","Einstein Bros Bagels","Phoenix","Food"," Breakfast & Brunch"," Bagels"," Delis","AZ",2.92527472527473
"697","Einstein Brothers Bagels","Madison","Food"," Bagels"," Breakfast & Brunch",NA,"WI",2.5
"698","El Ausente","Las Vegas","Mexican",NA,NA,NA,"NV",4.83333333333333
"699","El Bravo","Phoenix","Mexican",NA,NA,NA,"AZ",3.95283018867925
"700","El Burrito Mexican Restaurant","Las Vegas","Mexican",NA,NA,NA,"NV",3.63157894736842
"701","El Cancun Mexican Restaurant","Fort Mill","Mexican",NA,NA,NA,"SC",3.07142857142857
"702","El Charro","Champaign","Mexican",NA,NA,NA,"IL",3.97435897435897
"703","El Charro Restaurant & Cocktail Lounge","Mesa","Bars"," Mexican"," Nightlife"," Lounges","AZ",3.59210526315789
"704","El Conquistador","Glendale","Mexican",NA,NA,NA,"AZ",3.83333333333333
"705","El Cordobes","Las Vegas","Mexican",NA,NA,NA,"NV",4.5
"706","El Dorado Bar and Grill","Scottsdale","Bars"," American (Traditional)"," Nightlife",NA,"AZ",4.18518518518519
"707","El Gran Taco","Phoenix","Mexican",NA,NA,NA,"AZ",4.125
"708","El Maguey","Fort Mill","Mexican",NA,NA,NA,"SC",2.3
"709","El Mesquite Restaurant","Phoenix","Mexican",NA,NA,NA,"AZ",4.05714285714286
"710","El Metate Mexican Food","Chandler","Mexican",NA,NA,NA,"AZ",3.8695652173913
"711","El Molino Mexican Cafe","Scottsdale","Mexican",NA,NA,NA,"AZ",3.40217391304348
"712","El Nopalito","Phoenix","Mexican",NA,NA,NA,"AZ",4.04444444444444
"713","El Norteño","Phoenix","Mexican",NA,NA,NA,"AZ",3.98701298701299
"714","El Nuevo Taquito","Phoenix","Mexican",NA,NA,NA,"AZ",4.44444444444444
"715","El Paso Bar-B-Que Company","Glendale","Barbeque",NA,NA,NA,"AZ",3.36363636363636
"716","El Pollo Loco","Phoenix","Fast Food"," Mexican",NA,NA,"AZ",2.92436974789916
"717","El Pollo Supremo","Tempe","Mexican",NA,NA,NA,"AZ",4.15503875968992
"718","El Portal Restaurant","Phoenix","Mexican",NA,NA,NA,"AZ",3.1
"719","El Pulgarcito De America","Charlotte","Latin American",NA,NA,NA,"NC",4.01923076923077
"720","El Rico's","Queen Creek","Mexican",NA,NA,NA,"AZ",3.91304347826087
"721","El Rinconcito Mexican Food","Phoenix","Mexican",NA,NA,NA,"AZ",4.05555555555556
"722","El Sol Mexican Cafe","Chandler","Bakeries"," Food"," Breakfast & Brunch"," Mexican","AZ",4.34782608695652
"723","El Steak Burrito","Las Vegas","Latin American"," Mexican",NA,NA,"NV",3.9
"724","El Tacazo","Phoenix","",NA,NA,NA,"AZ",4
"725","El Taco Loco","Gilbert","Mexican",NA,NA,NA,"AZ",3
"726","El Tlacoyo","Tempe","Mexican",NA,NA,NA,"AZ",4.12121212121212
"727","El Torito Mexican Restaurant & Cantina","Paradise Valley","Mexican",NA,NA,NA,"AZ",3.80952380952381
"728","El Toro","Urbana","Mexican",NA,NA,NA,"IL",3.41176470588235
"729","El Triunfo Restaurant","Las Vegas","",NA,NA,NA,"NV",5
"730","El Vallarta","Pineville","Mexican",NA,NA,NA,"NC",3.66666666666667
"731","El Valle Mexican Restaurant","Mount Holly","Mexican",NA,NA,NA,"NC",3.54761904761905
"732","El Zocalo Mexican Grill","Chandler","Mexican",NA,NA,NA,"AZ",3.29411764705882
"733","Eldorado Grill","Madison","Breakfast & Brunch"," Tex-Mex",NA,NA,"WI",3.9608938547486
"734","Elements","Scottsdale","Breakfast & Brunch"," American (New)"," Asian Fusion",NA,"AZ",4.24324324324324
"735","Elephant Bar Restaurant","Phoenix","Bars"," American (New)"," Nightlife",NA,"AZ",3.24683544303797
"736","Elephant BBQ Restaurant","Las Vegas","Korean"," Barbeque",NA,NA,"NV",4.22222222222222
"737","Eliana's Restaurant","Phoenix","Latin American"," Salvadoran",NA,NA,"AZ",3.84313725490196
"738","Elie's Deli","Phoenix","Greek"," Delis"," Sandwiches",NA,"AZ",4.33333333333333
"739","Elmer's Tacos","Chandler","Mexican",NA,NA,NA,"AZ",4.01714285714286
"740","Elvira's Mexican Food","Apache Junction","Mexican",NA,NA,NA,"AZ",2.88607594936709
"741","Emil's Lounge","rankin","Bars"," American (New)"," Nightlife"," Lounges","PA",4.72222222222222
"742","Emperor's Garden","Las Vegas","Chinese",NA,NA,NA,"NV",1.90384615384615
"743","Emperor Chinese Restaurant","Charlotte","Chinese",NA,NA,NA,"NC",2
"744","Empire Chinese Restaurant","Champaign","Chinese",NA,NA,NA,"IL",3.51515151515152
"745","Empress of China II","Charlotte","Chinese",NA,NA,NA,"NC",2.25
"746","Enzo's","Henderson","Pizza",NA,NA,NA,"NV",3.34375
"747","Ephesus Mediterranean Kitchen","Pittsburgh","Pizza",NA,NA,NA,"PA",3.76190476190476
"748","Epoy's Filipino Fast Food","Las Vegas","Buffets"," Filipino",NA,NA,"NV",2.75
"749","Erawan Restaurant","Glendale","Thai",NA,NA,NA,"AZ",2.3
"750","Eribertos Mexican Food","Phoenix","Mexican",NA,NA,NA,"AZ",3.53030303030303
"751","Esmeralda's Cafe","Las Vegas","Mexican",NA,NA,NA,"NV",3.95454545454545
"752","Espresso Royale Caffe","Madison","Food"," Coffee & Tea"," Sandwiches",NA,"WI",3.62857142857143
"753","Esquire Club","Madison","Steakhouses",NA,NA,NA,"WI",2.92592592592593
"754","Esquire Lounge","Champaign","American (Traditional)"," Pizza"," Nightlife"," Pool Halls","IL",3.93243243243243
"755","Euro Pizza Cafe","Fountain Hills","Pizza"," Mediterranean",NA,NA,"AZ",3.52238805970149
"756","Europa Pastry Cafe","Phoenix","Bakeries"," Food"," Polish",NA,"AZ",4.57575757575758
"757","Excuses Bar & Grill","Pittsburgh","Bars"," American (Traditional)"," Nightlife",NA,"PA",3.93333333333333
"758","Extreme Pita","Phoenix","Greek"," Mediterranean",NA,NA,"AZ",3.95652173913043
"759","Eye Opener Family Restaurant","Phoenix","Breakfast & Brunch",NA,NA,NA,"AZ",3.37931034482759
"760","F. Tambellini Ristorante","Pittsburgh",""," Italian",NA,NA,"PA",1.875
"761","Fabulous Food","Phoenix",""," Event Planning & Services"," Party & Event Planning"," Caterers","AZ",3.25
"762","Fado Irish Pub","Las Vegas","Pubs"," Bars"," Nightlife"," Irish","NV",3.47368421052632
"763","Fair View Chinese Cuisine","Las Vegas","Chinese",NA,NA,NA,"NV",3.5
"764","Fajitas A Sizzlin Celebration","Phoenix","Mexican"," Tex-Mex",NA,NA,"AZ",3.7843137254902
"765","Falbo Bros Pizza","Madison","Pizza",NA,NA,NA,"WI",3
"766","Famous Dave's","Madison","Barbeque",NA,NA,NA,"WI",3.04545454545455
"767","Famous Ray's Pizza","Phoenix","Italian"," Pizza"," Sandwiches",NA,"AZ",4.28571428571429
"768","Famous Sam's","Gilbert","Nightlife"," Bars"," American (Traditional)"," Sports Bars","AZ",3.61290322580645
"769","Fanattics","Pittsburgh","Bars"," American (Traditional)"," Nightlife",NA,"PA",3.875
"770","Fanny's Bistro & Deli","Henderson","Delis"," Italian",NA,NA,"NV",4.53125
"771","Farm At South Mountain","Phoenix","American (Traditional)"," Food"," Breakfast & Brunch"," Specialty Food, Fruits & Veggies","AZ",4.125
"772","Farm Basket","Las Vegas","Fast Food"," American (New)",NA,NA,"NV",3.80487804878049
"773","Farrelli's Cinema Supper Club","Scottsdale","Arts & Entertainment"," American (New)"," Caterers"," Event Planning & Services, Cinema","AZ",3.80952380952381
"774","Fast Eddie's Diner","Phoenix","Burgers"," American (Traditional)"," Diners",NA,"AZ",3.36206896551724
"775","Fat City Saloon","Champaign","Arts & Entertainment"," Music Venues"," Bars"," Nightlife, American (New)","IL",3
"776","Fat Jacks Barbecue","Monona","Barbeque",NA,NA,NA,"WI",3.31034482758621
"777","Fatburger","Pheonix","Burgers"," Fast Food",NA,NA,"AZ",3.04848484848485
"778","Fate 905","Phoenix","Asian Fusion"," Chinese",NA,NA,"AZ",2.96296296296296
"779","Fatso's Pizza","Phoenix","Italian"," Pizza"," Salad",NA,"AZ",3.6989247311828
"780","Fausto's Mexican Grill","Henderson","Mexican",NA,NA,NA,"NV",3.6875
"781","Fazoli's","Madison",""," Italian",NA,NA,"WI",3.15189873417722
"782","Fazoli's 5268","Las Vegas",""," Italian",NA,NA,"NV",3.08333333333333
"783","Federico's Mexican Food","Phoenix","Fast Food"," Mexican",NA,NA,"AZ",3.46153846153846
"784","Federicos Mexican Food","Phoenix","Mexican",NA,NA,NA,"AZ",3.68181818181818
"785","Feedbag Restaurant","Apache Junction","Breakfast & Brunch",NA,NA,NA,"AZ",2.77777777777778
"786","Feiler's","Madison","Supper Clubs"," Bars"," Fish & Chips"," Nightlife","WI",3.7
"787","Felipito's Mexican Food","Las Vegas","Mexican",NA,NA,NA,"NV",3.94871794871795
"788","Fenwick's Restaurant","Charlotte","American (Traditional)",NA,NA,NA,"NC",4.08955223880597
"789","Fiesta Burrito","Scottsdale","Mexican",NA,NA,NA,"AZ",3.96756756756757
"790","Fiesta Cafe","Champaign","Mexican",NA,NA,NA,"IL",3.625
"791","Fiesta Filipina","Las Vegas","Filipino",NA,NA,NA,"NV",3.08928571428571
"792","Filiberto's Mexican Food","Mesa","Mexican",NA,NA,NA,"AZ",2.82857142857143
"793","Filiberto's Mexican Food Restaurant","Phoenix","Mexican",NA,NA,NA,"AZ",2.79166666666667
"794","Filibertos","Gilbert","Mexican",NA,NA,NA,"AZ",3.57377049180328
"795","Filibertos Mexican Food","Phoenix","Mexican",NA,NA,NA,"AZ",2.25
"796","Filly's Roadhouse","Apache Junction","American (Traditional)",NA,NA,NA,"AZ",3.2972972972973
"797","Final Round Sports Bar & Grill","Tempe","Bars"," American (Traditional)"," Nightlife"," , Sports Bars, Pizza","AZ",3.90243902439024
"798","Fiorella's","Phoenix",""," Italian",NA,NA,"AZ",3.82142857142857
"799","Fiori's Pizzaria","Pittsburgh","Italian"," Pizza",NA,NA,"PA",4.40441176470588
"800","Firebirds Wood Fired Grill","Peoria","Seafood"," Steakhouses"," American (New)",NA,"AZ",4.10857142857143
"801","Firehouse Subs","Pineville","Delis"," Fast Food"," Sandwiches",NA,"NC",4.02
"802","Firelight Buffet","Las Vegas","Buffets",NA,NA,NA,"NV",2.93181818181818
"803","Fireside Caribbean Restaurant","Pittsburgh","Caribbean",NA,NA,NA,"PA",3.8
"804","Fireside Inn","Pittsburgh","Bars"," American (New)"," "," Sports Bars, Nightlife","PA",4.16666666666667
"805","First Round Draft","Gilbert","Bars"," American (Traditional)"," Nightlife"," American (New), Sports Bars","AZ",2.56
